word;finance;it
free;324.5;324.5
well;142.8;95.2
gold;188;47
best;82.8;124.2
fool;20;180
strong;137.2;58.8
like;94.6;77.4
top;75.15;91.85
better;105.3;56.7
motley;22.8;129.2
