date,price
2007-07-06,0.02571983
2007-07-09,0.02665512
2007-07-10,0.02634363
2007-07-11,0.02638963
2007-07-12,0.02586691
2007-07-13,0.02614026
2007-07-16,0.02633075
2007-07-17,0.02640477
2007-07-18,0.02632320
2007-07-19,0.02618157
2007-07-20,0.02654892
2007-07-23,0.02712851
2007-07-24,0.02719519
2007-07-25,0.02726427
2007-07-26,0.02794056
2007-07-27,0.02789759
2007-07-30,0.02764121
2007-07-31,0.02774644
2007-08-01,0.02806413
2007-08-02,0.02899315
2007-08-03,0.02918565
2007-08-06,0.02942632
2007-08-07,0.02969257
2007-08-08,0.03055503
2007-08-09,0.03106775
2007-08-10,0.03134329
2007-08-13,0.03100107
2007-08-14,0.03110883
2007-08-15,0.03188925
2007-08-16,0.03181812
2007-08-17,0.03190050
2007-08-20,0.03226027
2007-08-21,0.03234438
2007-08-22,0.03214201
2007-08-23,0.03270966
2007-08-24,0.03295053
2007-08-27,0.03273742
2007-08-28,0.03286011
2007-08-29,0.03327760
2007-08-30,0.03374814
2007-08-31,0.03331452
2007-09-04,0.03355010
2007-09-05,0.03360336
2007-09-06,0.03340356
2007-09-07,0.03294740
2007-09-10,0.03339289
2007-09-11,0.03346843
2007-09-12,0.03316430
2007-09-13,0.03319475
2007-09-14,0.03275942
2007-09-17,0.03317976
2007-09-18,0.03323903
2007-09-19,0.03338185
2007-09-20,0.03372098
2007-09-21,0.03389822
2007-09-24,0.03396256
2007-09-25,0.03401508
2007-09-26,0.03398563
2007-09-27,0.03384376
2007-09-28,0.03411490
2007-10-01,0.03429669
2007-10-02,0.03455259
2007-10-03,0.03438375
2007-10-04,0.03439160
2007-10-05,0.03487431
2007-10-08,0.03440538
2007-10-09,0.03478877
2007-10-10,0.03433037
2007-10-11,0.03399609
2007-10-12,0.03401055
2007-10-15,0.03384244
2007-10-16,0.03411197
2007-10-17,0.03423228
2007-10-18,0.03450992
2007-10-19,0.03438998
2007-10-22,0.03461393
2007-10-23,0.03475344
2007-10-24,0.03474761
2007-10-25,0.03470512
2007-10-26,0.03521691
2007-10-29,0.03508627
2007-10-30,0.03538274
2007-10-31,0.03541291
2007-11-01,0.03574580
2007-11-02,0.03528733
2007-11-05,0.03594465
2007-11-06,0.03651763
2007-11-07,0.03704686
2007-11-08,0.03672293
2007-11-09,0.03734342
2007-11-12,0.03828462
2007-11-13,0.03746234
2007-11-14,0.03796198
2007-11-15,0.03805501
2007-11-16,0.03793837
2007-11-19,0.03767638
2007-11-20,0.03849145
2007-11-21,0.03870817
2007-11-23,0.03957186
2007-11-26,0.03880620
2007-11-27,0.03902680
2007-11-28,0.03857653
2007-11-29,0.03916744
2007-11-30,0.03910612
2007-12-03,0.03938151
2007-12-04,0.03897299
2007-12-05,0.03916711
2007-12-06,0.03921114
2007-12-07,0.03848131
2007-12-10,0.03950496
2007-12-11,0.03940169
2007-12-12,0.03968575
2007-12-13,0.03963569
2007-12-14,0.04017637
2007-12-17,0.03951817
2007-12-18,0.03986174
2007-12-19,0.03997605
2007-12-20,0.03969937
2007-12-21,0.04036403
2007-12-24,0.04038485
2007-12-26,0.04024801
2007-12-27,0.04048347
2007-12-28,0.04026137
2007-12-31,0.04075754
2008-01-02,0.04091676
2008-01-03,0.04073731
2008-01-04,0.04154958
2008-01-07,0.04178589
2008-01-08,0.04175396
2008-01-09,0.04151679
2008-01-10,0.04221630
2008-01-11,0.04185940
2008-01-14,0.04212917
2008-01-15,0.04193789
2008-01-16,0.04238296
2008-01-17,0.04267484
2008-01-18,0.04184855
2008-01-22,0.04279134
2008-01-23,0.04297824
2008-01-24,0.04316306
2008-01-25,0.04396822
2008-01-28,0.04374406
2008-01-29,0.04401819
2008-01-30,0.04350008
2008-01-31,0.04373173
2008-02-01,0.04337162
2008-02-04,0.04343190
2008-02-05,0.04272837
2008-02-06,0.04313907
2008-02-07,0.04251854
2008-02-08,0.04236342
2008-02-11,0.04342122
2008-02-12,0.04315822
2008-02-13,0.04254433
2008-02-14,0.04234552
2008-02-15,0.04226621
2008-02-19,0.04150872
2008-02-20,0.04139598
2008-02-21,0.04152228
2008-02-22,0.04164716
2008-02-25,0.04191368
2008-02-26,0.04384166
2008-02-27,0.04418907
2008-02-28,0.04448690
2008-02-29,0.04459346
2008-03-03,0.04477351
2008-03-04,0.04403993
2008-03-05,0.04440503
2008-03-06,0.04472353
2008-03-07,0.04518922
2008-03-10,0.04496864
2008-03-11,0.04550923
2008-03-12,0.04551253
2008-03-13,0.04579564
2008-03-14,0.04569977
2008-03-17,0.04605213
2008-03-18,0.04599993
2008-03-19,0.04653868
2008-03-20,0.04687263
2008-03-24,0.04668934
2008-03-25,0.04675690
2008-03-26,0.04661082
2008-03-27,0.04689730
2008-03-28,0.04705536
2008-03-31,0.04716463
2008-04-01,0.04722197
2008-04-02,0.04743746
2008-04-03,0.04768577
2008-04-04,0.04814203
2008-04-07,0.04765451
2008-04-08,0.04806146
2008-04-09,0.04732819
2008-04-10,0.04789149
2008-04-11,0.04761827
2008-04-14,0.04743396
2008-04-15,0.04825382
2008-04-16,0.04875229
2008-04-17,0.04869026
2008-04-18,0.04961724
2008-04-21,0.04953847
2008-04-22,0.04946222
2008-04-23,0.04909374
2008-04-24,0.05043900
2008-04-25,0.04978889
2008-04-28,0.04969054
2008-04-29,0.04935945
2008-04-30,0.04897232
2008-05-01,0.04885038
2008-05-02,0.04885756
2008-05-05,0.04818845
2008-05-06,0.04849332
2008-05-07,0.04832308
2008-05-08,0.04900667
